text,O,C,E,A,N
I love going out to parties and meeting new people! It gives me so much energy.,1,0,1,1,0
I prefer staying home and reading a good book. Crowds make me anxious.,1,1,0,0,1
I have a strict schedule and I always keep my desk perfectly organized.,0,1,0,1,0
I feel worried and stressed out very easily over small things.,0,0,0,0,1
"I enjoy trying new foods, exploring new cultures, and abstract art.",1,0,1,1,0
"I don't really care about other people's feelings, I just want to win.",0,1,1,0,0
I am always prepared and I follow rules strictly.,0,1,0,1,0
I make friends easily and love to chat with anyone.,1,0,1,1,0
I often feel sad and overwhelmed by my emotions.,1,0,0,1,1
I am very creative and have an active imagination.,1,0,0,1,1
I love going out to parties and meeting new people! It gives me so much energy.,1,0,1,1,0
I prefer staying home and reading a good book. Crowds make me anxious.,1,1,0,0,1
I have a strict schedule and I always keep my desk perfectly organized.,0,1,0,1,0
I feel worried and stressed out very easily over small things.,0,0,0,0,1
"I enjoy trying new foods, exploring new cultures, and abstract art.",1,0,1,1,0
"I don't really care about other people's feelings, I just want to win.",0,1,1,0,0
I am always prepared and I follow rules strictly.,0,1,0,1,0
I make friends easily and love to chat with anyone.,1,0,1,1,0
I often feel sad and overwhelmed by my emotions.,1,0,0,1,1
I am very creative and have an active imagination.,1,0,0,1,1
I love going out to parties and meeting new people! It gives me so much energy.,1,0,1,1,0
I prefer staying home and reading a good book. Crowds make me anxious.,1,1,0,0,1
I have a strict schedule and I always keep my desk perfectly organized.,0,1,0,1,0
I feel worried and stressed out very easily over small things.,0,0,0,0,1
"I enjoy trying new foods, exploring new cultures, and abstract art.",1,0,1,1,0
"I don't really care about other people's feelings, I just want to win.",0,1,1,0,0
I am always prepared and I follow rules strictly.,0,1,0,1,0
I make friends easily and love to chat with anyone.,1,0,1,1,0
I often feel sad and overwhelmed by my emotions.,1,0,0,1,1
I am very creative and have an active imagination.,1,0,0,1,1
I love going out to parties and meeting new people! It gives me so much energy.,1,0,1,1,0
I prefer staying home and reading a good book. Crowds make me anxious.,1,1,0,0,1
I have a strict schedule and I always keep my desk perfectly organized.,0,1,0,1,0
I feel worried and stressed out very easily over small things.,0,0,0,0,1
"I enjoy trying new foods, exploring new cultures, and abstract art.",1,0,1,1,0
"I don't really care about other people's feelings, I just want to win.",0,1,1,0,0
I am always prepared and I follow rules strictly.,0,1,0,1,0
I make friends easily and love to chat with anyone.,1,0,1,1,0
I often feel sad and overwhelmed by my emotions.,1,0,0,1,1
I am very creative and have an active imagination.,1,0,0,1,1
I love going out to parties and meeting new people! It gives me so much energy.,1,0,1,1,0
I prefer staying home and reading a good book. Crowds make me anxious.,1,1,0,0,1
I have a strict schedule and I always keep my desk perfectly organized.,0,1,0,1,0
I feel worried and stressed out very easily over small things.,0,0,0,0,1
"I enjoy trying new foods, exploring new cultures, and abstract art.",1,0,1,1,0
"I don't really care about other people's feelings, I just want to win.",0,1,1,0,0
I am always prepared and I follow rules strictly.,0,1,0,1,0
I make friends easily and love to chat with anyone.,1,0,1,1,0
I often feel sad and overwhelmed by my emotions.,1,0,0,1,1
I am very creative and have an active imagination.,1,0,0,1,1
I love going out to parties and meeting new people! It gives me so much energy.,1,0,1,1,0
I prefer staying home and reading a good book. Crowds make me anxious.,1,1,0,0,1
I have a strict schedule and I always keep my desk perfectly organized.,0,1,0,1,0
I feel worried and stressed out very easily over small things.,0,0,0,0,1
"I enjoy trying new foods, exploring new cultures, and abstract art.",1,0,1,1,0
"I don't really care about other people's feelings, I just want to win.",0,1,1,0,0
I am always prepared and I follow rules strictly.,0,1,0,1,0
I make friends easily and love to chat with anyone.,1,0,1,1,0
I often feel sad and overwhelmed by my emotions.,1,0,0,1,1
I am very creative and have an active imagination.,1,0,0,1,1
I love going out to parties and meeting new people! It gives me so much energy.,1,0,1,1,0
I prefer staying home and reading a good book. Crowds make me anxious.,1,1,0,0,1
I have a strict schedule and I always keep my desk perfectly organized.,0,1,0,1,0
I feel worried and stressed out very easily over small things.,0,0,0,0,1
"I enjoy trying new foods, exploring new cultures, and abstract art.",1,0,1,1,0
"I don't really care about other people's feelings, I just want to win.",0,1,1,0,0
I am always prepared and I follow rules strictly.,0,1,0,1,0
I make friends easily and love to chat with anyone.,1,0,1,1,0
I often feel sad and overwhelmed by my emotions.,1,0,0,1,1
I am very creative and have an active imagination.,1,0,0,1,1
